hospital,emergency_cases,avg_stay,avg_cost
"James Group",1,27.0,10849.00
"Davis, Bond and Russell",1,30.0,45307.00
Nunez-Reed,1,3.0,17842.00
Hunt-Myers,1,14.0,19610.00
"and Scott, Martinez Wilcox",1,26.0,14787.00
Cole-Blake,1,2.0,2264.00
"Andrews Lewis Rivas, and",1,15.0,2799.00
"PLC Garza",1,29.0,20154.00
"and Sons Jones",1,30.0,20398.00
Moore-Long,1,13.0,3386.00
"and Gutierrez King, Evans",1,16.0,13946.00
"LLC Walters",1,26.0,40961.00
"and Sons Leach",1,11.0,27446.00
"and Sherman Leblanc, Moreno",1,5.0,30152.00
"King, Welch Johnson and",1,29.0,7326.00
"and Wilson Walters, Chandler",1,21.0,33212.00
"and Buckley, Brown Curry",1,14.0,10602.00
Dalton-Martinez,1,19.0,25427.00
"and Williams May Burgess,",1,6.0,42292.00
"Collins Stout and King,",1,1.0,8993.00
Christian-Chavez,1,23.0,23070.00
"Walker Parker Reynolds, and",1,28.0,14817.00
"Daniel Lopez, Bates and",1,20.0,24014.00
Hunter-Mcguire,1,10.0,4405.00
"and Gentry Martinez, Morris",1,11.0,49458.00
"Park LLC",1,5.0,33613.00
"Shaw Solomon and Duncan,",1,18.0,21530.00
"Sullivan, Gay Sanchez and",1,22.0,43469.00
Sullivan-Bell,1,13.0,10736.00
"and Clark Simmons, Ford",1,8.0,494.00
Cox-Davenport,1,7.0,5330.00
"Erickson Sons and",1,5.0,2725.00
"and Sons Andrade",1,22.0,45487.00
Lee-Yang,1,18.0,38893.00
"Jacobs PLC",1,26.0,3642.00
"Duran Group",1,15.0,5024.00
"and Chandler Ramos Sweeney,",1,18.0,32791.00
"and Ward Liu, Wilson",1,6.0,21234.00
"Morrison Group",1,27.0,21880.00
"Burton Peterson and Williams,",1,22.0,13751.00
Cantrell-Robertson,1,9.0,8097.00
"and Gonzales, Clark Johnson",1,18.0,4473.00
"Phelps and Collier Fisher,",1,10.0,17304.00
Leblanc-Winters,1,23.0,8067.00
"and Gutierrez, Hall Diaz",1,2.0,23957.00
"Gilmore LLC",1,12.0,121.00
"Moore and Lang, Martinez",1,22.0,40649.00
Davis-Stevens,1,17.0,35455.00
"and Braun, Jones Glenn",1,24.0,30420.00
Smith-Mccarty,1,27.0,669.00
"and Stanley Schneider, Webster",1,1.0,22624.00
"and Mitchell, Miller Warner",1,28.0,48220.00
"Hunter and Johnson Snow,",1,1.0,7256.00
Hatfield-Miller,1,7.0,21976.00
Erickson-Flowers,1,26.0,32524.00
"and Scott Newman, Delacruz",1,16.0,15503.00
"and Carroll Sons",1,28.0,44083.00
Hernandez-Hughes,1,25.0,8545.00
James-Lyons,1,8.0,41175.00
"Group Hayes",1,12.0,23590.00
Reeves-Wallace,1,18.0,21508.00
"and Rich Warner, Martin",1,7.0,28194.00
"Reyes Mooney Jones, and",1,23.0,8862.00
"and Evans Good, Oneill",1,13.0,48194.00
"Stephens and Clark, Mann",1,11.0,6631.00
"and Henderson Torres, Potter",1,5.0,4378.00
"Perez, Mitchell and Harper",1,12.0,4047.00
Robbins-Underwood,1,26.0,14280.00
"Group Burton",1,14.0,3141.00
"Parsons PLC",1,28.0,14972.00
"and Higgins Reese, Kirk",1,23.0,31282.00
"Wong Arnold, and Chapman",1,2.0,37755.00
"Grant Inc",1,25.0,32982.00
"Ltd Waters",1,19.0,37752.00
Conley-Owens,1,26.0,6050.00
"Parker, Cox and Holt",1,19.0,27564.00
"Conrad and Lucas, Melton",1,26.0,38538.00
Wiggins-Anderson,1,13.0,5131.00
Hill-Bell,1,26.0,26126.00
Doyle-West,1,25.0,4145.00
"and Adams, Graham Higgins",1,20.0,3703.00
"Inc Chandler",1,4.0,31942.00
"Lopez Ltd",1,8.0,32224.00
"and Mahoney Sons",1,27.0,10730.00
Rollins-Bonilla,1,14.0,35219.00
Joyce-Bishop,1,6.0,30089.00
"Group Pope",1,15.0,26295.00
"Garrett Johnson, and Lee",1,20.0,27159.00
Lloyd-Tran,1,3.0,38792.00
"Scott and Reyes Garcia,",1,11.0,23658.00
Smith-Spears,1,24.0,35213.00
"Savage Ltd",1,18.0,4438.00
"and Hart, Miller Hines",1,18.0,26036.00
"PLC Sellers",1,29.0,5103.00
"Hernandez, and Baker Anderson",1,15.0,21427.00
"and Ramsey Wong, Cox",1,28.0,12897.00
"Pollard Abbott and Hutchinson,",1,22.0,29927.00
Davis-Duran,1,2.0,49752.00
"Arnold Ltd",1,10.0,7500.00
"Ltd Jensen",1,30.0,18020.00
Pena-Smith,1,10.0,24124.00
"Gates Group",1,12.0,28594.00
Johnson-Barnes,1,10.0,39622.00
Ryan-Bailey,1,9.0,9935.00
Miller-Jennings,1,16.0,8547.00
Lester-Hamilton,1,25.0,31851.00
"Hernandez Cruz, Hull and",1,15.0,25116.00
Alexander-Silva,1,11.0,29528.00
"Sons and Yoder",1,28.0,31001.00
"Stevens, and Williams Valdez",1,8.0,15801.00
"and Contreras Santiago Fowler,",1,4.0,44188.00
"and Cook, Elliott Phillips",1,27.0,8922.00
Webb-Byrd,1,16.0,36280.00
"Carrillo Ltd",1,8.0,17997.00
"and Hawkins, Jackson Charles",1,20.0,14581.00
"Carter, Rogers and Ryan",1,2.0,41295.00
Moody-Johnston,1,3.0,25371.00
Smith-Griffin,1,27.0,28187.00
"James, and Guzman Long",1,29.0,29484.00
"Sellers and Sons",1,9.0,13462.00
"Montoya and Dixon, Love",1,24.0,6309.00
Wright-Daniels,1,20.0,12196.00
Moss-Rollins,1,3.0,32484.00
"Tucker and Spence, Stewart",1,26.0,9662.00
"Silva Weber and Swanson,",1,4.0,22753.00
Turner-Ramos,1,20.0,8312.00
"Ltd Neal",1,21.0,18708.00
"Sims, Garcia and Foster",1,24.0,9788.00
Cortez-Hernandez,1,16.0,16475.00
Joseph-Young,1,17.0,4939.00
"Evans, and Hughes Miller",1,7.0,47476.00
"Dennis, Wilson and Griffin",1,2.0,4842.00
Martin-Green,1,25.0,36055.00
Bennett-Vang,1,13.0,17169.00
"Ingram Lamb Villegas, and",1,7.0,22419.00
Kennedy-Hoffman,1,27.0,28736.00
"Group West",1,12.0,30525.00
"Hinton, Newman Lynch and",1,6.0,47663.00
"LLC Johnston",1,21.0,31962.00
Robinson-Haney,1,8.0,21674.00
"Smith and Martin, Murillo",1,14.0,2789.00
"Mills Peterson and Jones,",1,8.0,36478.00
"Ferguson Nichols, Larson and",1,5.0,46545.00
"Rose, Mckinney Pittman and",1,24.0,9678.00
"Grant Bailey, Andrade and",1,28.0,39382.00
"Nichols, King and Yang",1,13.0,47765.00
Martin-Mendez,1,10.0,38978.00
Murphy-Dunlap,1,10.0,10119.00
"Koch LLC",1,14.0,37558.00
"Wilson Sons and",1,13.0,42811.00
"Schaefer Sons and",1,1.0,46025.00
"and Horton Sons",1,11.0,48948.00
Hernandez-Aguilar,1,13.0,34298.00
"Hicks, Perez Watkins and",1,8.0,19977.00
"and Cantrell Miller, Taylor",1,25.0,24083.00
"Stephens Burke and Gonzalez,",1,15.0,30097.00
Carroll-Saunders,1,27.0,3955.00
"Stephenson and Sons",1,18.0,44845.00
Duran-Greene,1,24.0,25529.00
"Phillips, and Welch Johnson",1,13.0,10367.00
Foley-Tyler,1,7.0,34137.00
"and Foster Jones Brown,",1,15.0,31296.00
King-Morton,1,10.0,36957.00
Murphy-Guerrero,1,29.0,7240.00
"and Rhodes, Olson Farley",1,13.0,17219.00
"Williams, Nicholson and Li",1,22.0,24838.00
"Woodard, and Reese Griffin",1,15.0,7832.00
Combs-Waters,1,10.0,7846.00
"PLC Flores",1,7.0,35065.00
King-West,1,22.0,10059.00
Price-Torres,1,7.0,819.00
"Horne and Thomas Hubbard,",1,17.0,31482.00
King-Johnson,1,27.0,17474.00
Hobbs-Carter,1,23.0,49368.00
"Sons and Coffey",1,25.0,21715.00
Jarvis-Barton,1,10.0,3844.00
"and Foster, Leonard Jenkins",1,26.0,23035.00
"Farley PLC",1,24.0,5633.00
"and Hawkins, Ferguson Gomez",1,2.0,29643.00
"Taylor Group",1,1.0,32409.00
"and Hurst, Page Jones",1,19.0,32463.00
"Hutchinson Inc",1,9.0,29249.00
"LLC Cowan",1,1.0,42812.00
Rodriguez-Rodriguez,1,22.0,6493.00
"Jones, Hays Clark and",1,16.0,23131.00
"and Turner, Zhang Love",1,22.0,30249.00
Jordan-Harris,1,14.0,44348.00
"Group Salazar",1,29.0,43214.00
"and Sons Brown",1,29.0,29891.00
David-Johnson,1,10.0,9168.00
Whitehead-Harris,1,23.0,27005.00
"and White Sons",1,27.0,39849.00
Alvarez-Blair,1,7.0,6973.00
"Miller Rodriguez, and Lee",1,10.0,10672.00
"and Rivera Mccoy Foley,",1,8.0,34643.00
"and Anderson Donaldson Aguilar,",1,15.0,45878.00
Alvarado-Carroll,1,26.0,10142.00
Scott-Collins,1,6.0,11112.00
"Bruce and Spencer, Durham",1,29.0,6393.00
"Inc Alexander",1,11.0,43086.00
Long-Christensen,1,2.0,21444.00
Ramsey-Schmidt,1,7.0,17174.00
"Ford PLC",1,26.0,22831.00
Navarro-Hayes,1,7.0,37579.00
Jacobson-King,1,11.0,23111.00
"Walls Group",1,29.0,48198.00
Ross-Jackson,1,5.0,19581.00
"and Summers Day Espinoza,",1,18.0,37508.00
Frost-Davis,1,4.0,35023.00
"Smith Smith and Lee,",1,2.0,3776.00
"Inc Case",1,10.0,23226.00
"Garcia, Brown Aguirre and",1,1.0,41705.00
Campbell-Spears,1,3.0,2672.00
"Gilbert Shannon, Smith and",1,18.0,6559.00
Perkins-Walton,1,9.0,31013.00
Robinson-Roth,1,5.0,50944.00
Hall-Schneider,1,24.0,10525.00
"and Blanchard Miller, Young",1,9.0,23653.00
"Collins, Wallace Duncan and",1,26.0,25160.00
Smith-Patton,1,9.0,22245.00
Reynolds-Hartman,1,19.0,16358.00
"Frank King, Christian and",1,28.0,7366.00
"Group Christian",1,3.0,34021.00
"Hernandez, Perez Acosta and",1,15.0,30087.00
"and Sons Shaffer",1,28.0,21042.00
Jackson-Alvarado,1,17.0,6873.00
"Vaughn and King Boyle,",1,1.0,5543.00
"Group Hines",1,15.0,11648.00
"and Adams Cole, Payne",1,25.0,48016.00
Young-Nelson,1,27.0,28099.00
Johnson-Douglas,1,25.0,34382.00
Marks-Patrick,1,8.0,14291.00
"Mann, Morris Knapp and",1,25.0,30499.00
Roach-Edwards,1,9.0,36969.00
"Inc Church",1,16.0,15356.00
"and Herrera, Cox Higgins",1,7.0,18878.00
Novak-Bradley,1,30.0,28821.00
"Warren, and Edwards Sanchez",1,3.0,32983.00
Austin-Fletcher,1,30.0,11058.00
"Smith, Dawson and Garcia",1,11.0,3542.00
"Sons Manning and",1,11.0,32295.00
"and Sons Hendrix",1,6.0,27225.00
Cook-Carlson,1,24.0,22474.00
"Barrera, Ramos and Gomez",1,29.0,44243.00
"Group Massey",1,20.0,9010.00
Hooper-Roy,1,13.0,8889.00
Lawrence-Ferguson,1,11.0,34731.00
Walters-Christensen,1,15.0,22046.00
"Russo, Gill and Suarez",1,25.0,37877.00
Johnson-Nolan,1,7.0,6915.00
Lewis-Scott,1,20.0,36081.00
Atkins-Braun,1,10.0,44827.00
"Sons and Jordan",1,26.0,14175.00
Berg-Mcgrath,1,9.0,48468.00
"Sons and Hensley",1,13.0,15068.00
"and Riley Myers Day,",1,10.0,10594.00
"and Mitchell, Yang Garner",1,10.0,38465.00
Brooks-Rodriguez,1,1.0,5123.00
Singleton-Barber,1,21.0,23084.00
"Cook and Meza Livingston,",1,5.0,23493.00
"Wilson Cole, and Ellis",1,21.0,49236.00
"Schmidt, Miranda Perez and",1,9.0,18274.00
"Carroll, and Schwartz Hill",1,30.0,9656.00
"Moss and Ray Wilson,",1,4.0,26146.00
"and Berger Terry, Franklin",1,3.0,44000.00
Hudson-Hunt,1,7.0,37172.00
Craig-Porter,1,24.0,29108.00
"Sons and Terrell",1,15.0,13361.00
"Jackson and Carr, White",1,24.0,7979.00
"and Sons Ortega",1,25.0,15164.00
Wilson-Hanson,1,20.0,37048.00
"Gomez LLC",1,6.0,44505.00
"Mitchell and Davis, Banks",1,16.0,29803.00
"Turner Inc",1,26.0,36724.00
Lynch-Wong,1,7.0,46774.00
"and Turner, Williams Hall",1,29.0,42334.00
Hernandez-Moore,1,2.0,39623.00
Benson-Brooks,1,9.0,44413.00
"Inc Cook",1,2.0,35595.00
"Boone Barker and Paul,",1,27.0,35786.00
Scott-Price,1,6.0,10723.00
"Gallegos and Lyons Carter,",1,12.0,14081.00
"Farmer, and Yang Hancock",1,23.0,2459.00
"and Lopez Wood Hopkins,",1,19.0,49170.00
"Delgado Inc",1,15.0,26069.00
"and Hamilton Foley, Charles",1,29.0,5242.00
"and Williams, Martinez Chambers",1,15.0,15130.00
"Group Gardner",1,25.0,8595.00
"LLC Steele",1,28.0,9065.00
"Conley, Banks Williamson and",1,29.0,40828.00
Wright-Beard,1,17.0,41273.00
Williams-Deleon,1,10.0,49696.00
"Green and Mcbride, Garza",1,22.0,3335.00
"Holder and Flores, Francis",1,6.0,41213.00
"Davis Miller, and Harrison",1,30.0,43722.00
French-Marquez,1,25.0,14931.00
"Miller Miller Santos, and",1,25.0,39324.00
"Alexander, Morris and Hayes",1,8.0,33418.00
Ford-Harris,1,2.0,45802.00
"Russell, Richardson and Smith",1,26.0,48615.00
"Porter Lopez Reed, and",1,20.0,19798.00
"Anderson Rodriguez, Taylor and",1,20.0,49289.00
Bush-Schmitt,1,1.0,9754.00
"and Bowen Mccormick, Johnson",1,8.0,4683.00
"Pugh Robertson, and Moss",1,12.0,16238.00
Villanueva-Wilson,1,27.0,5115.00
"Bryant LLC",1,15.0,41616.00
"Davis Berger, Rosales and",1,27.0,35150.00
"King, Ford Gates and",1,4.0,29335.00
"Kim Ltd",1,27.0,18428.00
Rivera-Cunningham,1,11.0,34307.00
"and Martin Logan, Case",1,18.0,16690.00
"PLC Gay",1,30.0,6774.00
"and Jones Morris, Bernard",1,2.0,18077.00
"Johnson, Parker Fitzpatrick and",1,11.0,23984.00
Young-Mccarthy,1,19.0,14969.00
Young-Thomas,1,26.0,33919.00
"Brown, and Browning Douglas",1,11.0,9331.00
"Peters Ltd",1,27.0,14697.00
"Sons Moon and",1,15.0,31319.00
"White and Wallace, Anderson",1,1.0,47377.00
Henry-Black,1,8.0,4330.00
"Fox Bryant and Richmond,",1,29.0,46607.00
"and Williams Butler, Knight",1,17.0,29678.00
"and Liu Martinez Burnett,",1,14.0,46003.00
"Clark Lopez, Phelps and",1,21.0,26014.00
"and Murphy Sons",1,24.0,50094.00
Smith-Vincent,1,5.0,10287.00
"and Torres, Rios Park",1,17.0,19242.00
Acosta-Chambers,1,20.0,4112.00
"Turner, Lynch and Parker",1,16.0,35010.00
"Walter Foley, Terry and",1,16.0,17082.00
"Miller, and Brown Bryant",1,21.0,45686.00
"Davis Campbell and Jackson,",1,14.0,27500.00
Johnson-Gordon,1,12.0,10765.00
"Newton PLC",1,25.0,2686.00
"Group Bryant",1,13.0,22670.00
"Castillo Sanders, Levine and",1,3.0,49913.00
"Group Warner",1,3.0,19707.00
"Hartman Morgan, Fischer and",1,1.0,30869.00
"and Cross Sons",1,19.0,10149.00
"Velasquez Group",1,20.0,11406.00
"and Nunez, Knapp Diaz",1,2.0,8131.00
"Krause LLC",1,1.0,29102.00
"Benson and Davis, Richards",1,27.0,2326.00
Cox-Sullivan,1,5.0,47651.00
"Gonzalez, Mack and Mejia",1,6.0,35407.00
"and Garrison Weeks Gray,",1,7.0,37046.00
"Lee Matthews Davis, and",1,26.0,42895.00
Johnson-Baxter,1,5.0,6550.00
"Smith Jones Taylor, and",1,23.0,45624.00
Kennedy-Johnson,1,5.0,3341.00
Brown-Byrd,1,18.0,34093.00
Smith-Mora,1,16.0,42957.00
"and Matthews Stone, Oconnor",1,28.0,6934.00
"Perez Fletcher and Lynch,",1,8.0,28792.00
"Cooper Group",1,19.0,12534.00
"Inc Carr",1,13.0,33423.00
Richards-Young,1,30.0,13277.00
Williams-Anthony,1,2.0,29728.00
George-Walker,1,1.0,3404.00
"Zimmerman Ltd",1,17.0,40635.00
"Robinson Parker, and Berry",1,22.0,40589.00
"and Robinson Sons",1,27.0,26465.00
Figueroa-Hayden,1,17.0,14281.00
Johnson-Heath,1,27.0,43724.00
"Mills and James, Hansen",1,2.0,19320.00
"Jordan, Espinoza and Fitzpatrick",1,18.0,45637.00
"Howard, and Allen Daniels",1,17.0,29723.00
Thomas-Myers,1,11.0,29686.00
Davis-Jackson,1,9.0,11540.00
"Shaffer Chandler, and Maldonado",1,24.0,34184.00
Ford-Jackson,1,25.0,42637.00
"and Marsh Swanson, Castillo",1,14.0,28523.00
Morgan-Moreno,1,10.0,44026.00
"and Norris, Duncan Marshall",1,4.0,44486.00
"Wilson, Watson and Freeman",1,11.0,45447.00
"Bass Ltd",1,5.0,24353.00
"Fox and Rivera Smith,",1,4.0,35307.00
Massey-Ford,1,27.0,30357.00
"Group Harper",1,11.0,20845.00
"Ryan LLC",1,6.0,39900.00
"Farmer Inc",1,16.0,15954.00
"Miller, Simmons and Holland",1,23.0,6875.00
"Green and Reed Brown,",1,13.0,34783.00
"and Stanton Singleton Kim,",1,18.0,17125.00
"and Jones, Tran Schultz",1,21.0,15464.00
"Stevens and Lopez Delacruz,",1,22.0,24645.00
"Richards Sons and",1,23.0,44247.00
"Group Kidd",1,13.0,2416.00
"Ortega, and Page Evans",1,18.0,16506.00
"Hernandez and Parker Davidson,",1,20.0,36810.00
"Sons Mclaughlin and",1,12.0,790.00
"and Nichols, Carlson Bridges",1,14.0,45845.00
Davis-Collins,1,6.0,19098.00
"Carr Williams Perry, and",1,22.0,41233.00
Huang-Levine,1,27.0,1750.00
"Acosta, and Price Jackson",1,2.0,47389.00
Adkins-Cantu,1,21.0,38421.00
Jackson-Bell,1,24.0,37525.00
Sanchez-Carrillo,1,21.0,2247.00
"Petersen PLC",1,16.0,8499.00
Norman-Pope,1,27.0,42279.00
"Chavez Simmons and Wolfe,",1,14.0,10147.00
"and Dean Brown, Phillips",1,17.0,31135.00
Mcdonald-Davenport,1,6.0,32786.00
"Johnston and Trujillo Duran,",1,3.0,11788.00
Esparza-Carpenter,1,20.0,5978.00
Lucas-Brown,1,15.0,36169.00
"Velazquez PLC",1,25.0,38131.00
Terry-Hampton,1,2.0,16317.00
Beard-Santos,1,14.0,21639.00
"Mays Group",1,10.0,17623.00
"Bennett and Yates Jones,",1,21.0,48245.00
"Carter and Horton, Flores",1,16.0,8919.00
"LLC Perkins",1,17.0,17197.00
"Ltd Warren",1,24.0,42997.00
Johnson-Dominguez,1,2.0,12784.00
Lewis-Allen,1,7.0,15108.00
Mclaughlin-Brown,1,6.0,33470.00
Long-Huerta,1,18.0,25492.00
Villarreal-Graham,1,25.0,29333.00
"Ayers, and Green Hall",1,21.0,10250.00
"Bennett Ltd",1,8.0,12667.00
"King Rodriguez, Barber and",1,4.0,8010.00
"Peterson Inc",1,6.0,47774.00
Benjamin-Brown,1,3.0,9470.00
Nelson-Fisher,1,9.0,39815.00
"Ramos, and Johnson Morris",1,18.0,4741.00
"LLC Franco",1,4.0,35958.00
Boone-Elliott,1,29.0,23911.00
"Christian Garcia and Hahn,",1,9.0,24015.00
"Grant, Leon and Potter",1,9.0,48780.00
"Ray and Brown Garner,",1,9.0,46191.00
"Lyons Jacobs Hall, and",1,10.0,26190.00
"PLC Cherry",1,1.0,35157.00
"and Stone Sons",1,3.0,26448.00
"Howard and Potter, Sanford",1,29.0,13325.00
"Ellison Group",1,13.0,4225.00
"Rangel Kirk and Holmes,",1,11.0,23069.00
Washington-Holden,1,21.0,38426.00
Wood-Sullivan,1,18.0,7128.00
Williams-Smith,1,1.0,43957.00
"Martinez Rose, Hatfield and",1,6.0,19508.00
"and Hall Wheeler, Fernandez",1,21.0,22291.00
"Hale Garcia and Smith,",1,23.0,24885.00
"Ltd Cohen",1,1.0,32547.00
Edwards-Campos,1,3.0,45728.00
Chavez-Russell,1,15.0,11853.00
"Davis Craig, and Bender",1,28.0,2184.00
Cooper-Bush,1,10.0,48537.00
Griffin-Lee,1,13.0,27110.00
"and Nelson Price, Parker",1,7.0,30275.00
Ford-Curtis,1,9.0,26113.00
"Jackson and Sons",1,26.0,22495.00
Cruz-Johnson,1,25.0,29453.00
"Young, Preston and Thomas",1,15.0,9559.00
Coleman-Johnson,1,8.0,8548.00
"Martin Phillips Glover, and",1,6.0,40541.00
"and Phillips Robinson, Smith",1,21.0,12540.00
"Davila Gallagher and Anderson,",1,11.0,23982.00
"Harvey and Sons",1,26.0,11392.00
"Mckinney Johnson and Williams,",1,5.0,13486.00
"Ltd Clay",1,26.0,42119.00
Mccoy-Wilcox,1,8.0,9216.00
"Hensley Gill and Palmer,",1,15.0,11908.00
Wilson-Holt,1,11.0,20371.00
Hampton-Holmes,1,3.0,4958.00
Brown-Knapp,1,11.0,47632.00
"Herrera and Gray, Howell",1,13.0,47901.00
Fowler-Dyer,1,6.0,29086.00
Lewis-Mcneil,1,26.0,33836.00
Martinez-Mitchell,1,19.0,21218.00
"Bennett and Moore, Smith",1,14.0,44327.00
Blanchard-Charles,1,21.0,9222.00
Matthews-Cruz,1,9.0,15555.00
"Gray, Potter Stephenson and",1,7.0,7246.00
White-Phillips,1,20.0,35404.00
"Group Solis",1,1.0,50651.00
"and Branch Sons",1,29.0,30589.00
"and Pham Hill, Duncan",1,1.0,2412.00
"Dixon PLC",1,8.0,1776.00
"Lewis Frost, and Johnston",1,3.0,7448.00
"LLC Welch",1,14.0,46416.00
"Wilcox Inc",1,14.0,32339.00
Davis-Ramos,1,17.0,24061.00
"Bell, Dorsey Mendoza and",1,3.0,9631.00
"and Walter Shaw, Cook",1,27.0,691.00
"Sons and Mcclain",1,16.0,19507.00
Lawson-Curry,1,13.0,10487.00
"Zamora Shields, Decker and",1,30.0,45491.00
Reed-Adams,1,25.0,9870.00
"Vincent LLC",1,27.0,35909.00
"Foster, Berg and Holmes",1,8.0,27979.00
"and Sons Phelps",1,20.0,36684.00
Burnett-Norris,1,3.0,12416.00
"Carlson Inc",1,14.0,5700.00
Franklin-Sanchez,1,23.0,9161.00
"Spears, and Golden Caldwell",1,5.0,46540.00
"and Mccann Snow, Fisher",1,25.0,20153.00
Turner-Warner,1,8.0,21779.00
"Lang and Yu, Taylor",1,1.0,21174.00
"Inc Lucero",1,23.0,4798.00
"Allen, Cantu Orozco and",1,6.0,39836.00
"PLC Barnett",1,19.0,4479.00
"Martinez and Lee, Richmond",1,6.0,10109.00
Fleming-Klein,1,7.0,24638.00
Davis-Tucker,1,6.0,29208.00
"Inc Hanson",1,17.0,43777.00
Lindsey-Duran,1,18.0,25054.00
"Baldwin Group",1,8.0,14185.00
"Schultz Sons and",1,4.0,12418.00
Hicks-Hayes,1,10.0,18749.00
"and Parker, Juarez Ochoa",1,10.0,253.00
"and Harrell, Webb Moore",1,21.0,19551.00
"Craig Evans, Lee and",1,21.0,27323.00
Murphy-Rojas,1,26.0,2834.00
"LLC Foster",1,27.0,10468.00
"Ryan and Sons",1,2.0,39940.00
Hunt-Brown,1,4.0,34323.00
"Freeman Ruiz, Costa and",1,9.0,2074.00
Krueger-Schwartz,1,27.0,48167.00
"Ruiz Mejia Tran, and",1,19.0,18157.00
"Inc Yates",1,5.0,21252.00
"Simmons Group",1,6.0,42243.00
Brown-Scott,1,20.0,24099.00
"Gregory Johnson and Estrada,",1,11.0,44494.00
Cooper-Calhoun,1,15.0,9855.00
"Wheeler Reed, and Martinez",1,19.0,3422.00
Miller-Turner,1,15.0,43943.00
"and Hopkins Wiley Tran,",1,17.0,46790.00
"Freeman LLC",1,9.0,30199.00
Morris-Smith,1,25.0,4904.00
Williams-Travis,1,2.0,22458.00
Andrews-Martinez,1,24.0,6705.00
"Ingram PLC",1,24.0,34700.00
"Baker Sons and",1,30.0,30950.00
"Huang, Hicks Calhoun and",1,16.0,48806.00
Lane-Cruz,1,2.0,34263.00
"and Johnson Key Small,",1,30.0,17957.00
"Kramer Lindsey Thomas, and",1,25.0,27792.00
Wright-Chapman,1,29.0,38452.00
"Miller Clay, Hart and",1,19.0,47281.00
"Schmitt Schaefer and Ibarra,",1,1.0,46564.00
"Beard Gill White, and",1,14.0,9436.00
Henry-Schneider,1,17.0,39978.00
"Cook Smith, and Bryant",1,19.0,33514.00
"Jackson, and Barr Moses",1,17.0,27267.00
"Hobbs PLC",1,28.0,10154.00
Martinez-Strickland,1,23.0,2212.00
"Brown Mcconnell, Carter and",1,27.0,18546.00
"Hoover, Moore Anderson and",1,29.0,10631.00
Patel-Hunter,1,20.0,10610.00
Jenkins-Anderson,1,6.0,14115.00
"Martin and Johnson, Ballard",1,5.0,19641.00
Ramirez-Griffin,1,16.0,9790.00
Newman-Schmidt,1,23.0,40457.00
"and Johnson, Davis Middleton",1,3.0,45618.00
"Group Cross",1,8.0,4791.00
Klein-Brown,1,4.0,11140.00
"and Sons Wong",1,15.0,10923.00
Humphrey-Sharp,1,10.0,22681.00
"Weber, Ferguson Webster and",1,21.0,46533.00
"and Bradshaw, Herrera Cook",1,12.0,16732.00
"Skinner Chan Robbins, and",1,6.0,12064.00
"Group Patterson",1,24.0,49966.00
Garner-White,1,28.0,30709.00
"and Moody, Lowe Rivera",1,15.0,12573.00
"Evans, Kelly and Davis",1,13.0,29002.00
"Patterson, and Brown Garcia",1,29.0,30007.00
"White, Davis Miller and",1,9.0,33815.00
Vaughan-Scott,1,12.0,11348.00
"Johnson Schmidt, and Parker",1,2.0,32226.00
"Acevedo and Ellis, Snyder",1,30.0,33491.00
"Brady, and Johnson Perez",1,22.0,30369.00
"Ltd Wise",1,20.0,13750.00
"Inc Turner",1,29.0,4358.00
"and Munoz, Washington Ho",1,16.0,47406.00
Tate-Miller,1,3.0,19155.00
"PLC Wyatt",1,16.0,11909.00
"Martin and Evans, Pratt",1,23.0,29905.00
Summers-Patel,1,11.0,30491.00
"Murray and Horton Sutton,",1,26.0,7754.00
Phelps-Jones,1,19.0,15783.00
Pitts-Romero,1,24.0,34212.00
"Group Mathews",1,5.0,42540.00
Kim-Harris,1,22.0,18269.00
Lee-Dominguez,1,21.0,22369.00
"Dougherty and Munoz Mckenzie,",1,29.0,14025.00
Scott-Smith,1,12.0,24896.00
"Rose Inc",1,26.0,41671.00
"Hardy Sons and",1,21.0,2237.00
Hubbard-Shaw,1,4.0,15055.00
"and Sons Richard",1,10.0,11680.00
West-Stewart,1,29.0,9438.00
Ray-Schroeder,1,18.0,2821.00
Smith-Rodriguez,1,1.0,49693.00
"and Davis, Smith Beard",1,26.0,28841.00
Harris-Fowler,1,27.0,39871.00
Jackson-Shelton,1,22.0,18781.00
"Rodriguez Hanson and Vazquez,",1,4.0,46626.00
"Wilcox Nicholson, Mayo and",1,17.0,34291.00
"Sawyer Rodriguez, Carter and",1,27.0,38655.00
"LLC Cruz",1,23.0,50666.00
"Barton Williams and Lewis,",1,11.0,24152.00
Powers-Anderson,1,20.0,3741.00
"Group Shaw",1,11.0,33437.00
Klein-Scott,1,2.0,46985.00
Livingston-Foster,1,24.0,17651.00
"and Salazar Garrett Crawford,",1,26.0,25196.00
Gallegos-Tucker,1,5.0,42689.00
"Cervantes LLC",1,22.0,14501.00
Day-Rodriguez,1,19.0,44034.00
Flores-Hicks,1,6.0,12263.00
"and Harris Burton Richardson,",1,6.0,1602.00
Watson-Figueroa,1,3.0,40907.00
"and Lopez Moreno Mcpherson,",1,4.0,5746.00
"PLC Mcmillan",1,13.0,6297.00
"Hart PLC",1,24.0,5699.00
Henderson-Clark,1,10.0,28000.00
"Lin, Reese and Nelson",1,28.0,28208.00
Hurst-Conway,1,7.0,30111.00
Reyes-Murray,1,6.0,3186.00
